case,detector,public_recall,public_tp,public_fp,tapas_recall,seconds
optc-0201,rules,1.0,8,1,0.20454545454545456,0.6848964653909206
optc-0201,neural,0.0,0,3,0.0,0.7707307860255241
optc-0201,multiview,0.375,3,11,0.1590909090909091,3.544780246913433
optc-0201-30m,rules,1.0,8,1,0.13043478260869565,3.451420124620199
optc-0201-30m,neural,0.25,2,27,0.34782608695652173,4.252787213772535
optc-0201-30m,multiview,0.375,3,20,0.17391304347826086,6.9786089062690735
optc-0201-60m,rules,1.0,8,1,0.12857142857142856,7.6070347018539906
optc-0201-60m,neural,0.25,2,35,0.35714285714285715,9.497316256165504
optc-0201-60m,multiview,0.375,3,24,0.17142857142857143,15.45254024490714
optc-0201-background,rules,,0,0,0.0,1.203067783266306
optc-0201-background,neural,,0,5,0.0,2.981304932385683
optc-0201-background,multiview,,0,26,0.18,6.27247292175889
