case,detector,pdf_tp,pdf_positives,known_positive_recall,unknown_predictions,raw_events,context_events,bundles,pdf_reference_events,pdf_context_matched,seconds
optc-0201,rules,2,2,1.0,7,27011,744,606,278,265,1.4772618375718594
optc-0201,neural,0,2,0.0,3,27011,6832,4628,278,0,3.159870058298111
optc-0201,multiview,2,2,1.0,12,27011,23898,11411,278,276,2.7616143338382244
optc-0201-30m,rules,2,2,1.0,7,86318,1551,1397,947,934,7.5399184711277485
optc-0201-30m,neural,0,2,0.0,29,86318,24265,14666,947,0,8.870343826711178
optc-0201-30m,multiview,2,2,1.0,21,86318,65627,33746,947,945,11.802669733762741
optc-0201-60m,rules,2,2,1.0,7,188609,2584,2430,1979,1966,26.531889021396637
optc-0201-60m,neural,0,2,0.0,37,188609,46571,28004,1979,0,28.411454040557146
optc-0201-60m,multiview,2,2,1.0,25,188609,111810,56577,1979,1977,34.99559722095728
optc-0201-background,rules,0,0,,0,74654,0,0,0,0,3.66004541143775
optc-0201-background,neural,0,0,,5,74654,16185,10570,0,0,4.6349468640983105
optc-0201-background,multiview,0,0,,26,74654,51268,22337,0,0,8.064242571592331
