case,method,budget_ratio,budget,candidate_events,retained_events,retained_anchors,scoring_and_routes_seconds,selection_seconds,model_seconds,witness_valid,score_positive_events,positive_entities,retained_positive_entities,entity_retention,candidate_positive_entities,positive_processes,retained_positive_processes,process_retention,nonseed_positive_entities,retained_nonseed_positive_entities,nonseed_entity_retention,core_reference_events,candidate_core_events,retained_core_events,core_event_retention,retained_nodes,missed_positive_entity_uuids,classification_accuracy,precision,path_recall,exploratory_followup
CADETS 06,rasp,0.05,5111,102232,5111,4924,0.7529850900173187,0.13884026184678078,0.8918253518640995,True,88959,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,268,1.0,357,[],,,,
CADETS 06,rasp,0.1,10223,102232,10223,9652,0.7529850900173187,0.1736789494752884,0.9266640394926071,True,88959,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,268,1.0,958,[],,,,
CADETS 06,rasp,0.2,20446,102232,20446,19809,0.7529850900173187,0.2776399292051792,1.030625019222498,True,88959,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,268,1.0,981,[],,,,
CADETS 06,temporal_uniform,0.05,5111,102232,5111,5106,0.4779280759394169,0.1294882409274578,0.6074163168668747,True,83842,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,27,0.10074626865671642,951,[],,,,
CADETS 06,temporal_uniform,0.1,10223,102232,10223,10200,0.4779280759394169,0.1770305074751377,0.6549585834145546,True,83842,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,27,0.10074626865671642,1394,[],,,,
CADETS 06,temporal_uniform,0.2,20446,102232,20446,20404,0.4779280759394169,0.2748505249619484,0.7527786009013653,True,83842,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,27,0.10074626865671642,1734,[],,,,
CADETS 06,temporal_relation,0.05,5111,102232,5111,5102,0.5866235382854939,0.12714697793126106,0.7137705162167549,True,83842,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,76,0.2835820895522388,959,[],,,,
CADETS 06,temporal_relation,0.1,10223,102232,10223,10194,0.5866235382854939,0.17061155289411545,0.7572350911796093,True,83842,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,86,0.3208955223880597,1398,[],,,,
CADETS 06,temporal_relation,0.2,20446,102232,20446,20401,0.5866235382854939,0.26299233734607697,0.8496158756315708,True,83842,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,102,0.3805970149253731,1872,[],,,,
CADETS 06,temporal_relation_old_routes,0.05,5111,102232,5111,5038,1.3396086283028126,0.12728961929678917,1.4668982475996017,True,83842,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,76,0.2835820895522388,959,[],,,,
CADETS 06,temporal_relation_old_routes,0.1,10223,102232,10223,10098,1.3396086283028126,0.17202018201351166,1.5116288103163242,True,83842,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,86,0.3208955223880597,1394,[],,,,
CADETS 06,temporal_relation_old_routes,0.2,20446,102232,20446,20253,1.3396086283028126,0.2641070522367954,1.603715680539608,True,83842,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,102,0.3805970149253731,1872,[],,,,
CADETS 06,hybrid_relation_temporal,0.05,5111,102232,5111,5023,1.3396086283028126,0.13070990145206451,1.470318529754877,True,83842,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,268,1.0,407,[],,,,
CADETS 06,hybrid_relation_temporal,0.1,10223,102232,10223,10111,1.3396086283028126,0.17449328303337097,1.5141019113361835,True,83842,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,268,1.0,948,[],,,,
CADETS 06,hybrid_relation_temporal,0.2,20446,102232,20446,20249,1.3396086283028126,0.26977651566267014,1.6093851439654827,True,83842,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,268,1.0,1004,[],,,,
CADETS 06,reserve_0.1,0.05,5111,102232,4714,4604,1.3396086283028126,0.2111201137304306,1.5507287420332432,True,88959,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,268,1.0,374,[],,,,True
CADETS 06,reserve_0.1,0.1,10223,102232,9480,8961,1.3396086283028126,0.2502097189426422,1.5898183472454548,True,88959,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,268,1.0,974,[],,,,True
CADETS 06,reserve_0.1,0.2,20446,102232,18499,17920,1.3396086283028126,0.34922391176223755,1.6888325400650501,True,88959,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,268,1.0,1008,[],,,,True
CADETS 06,reserve_0.25,0.05,5111,102232,4714,4631,1.3396086283028126,0.21115190908312798,1.5507605373859406,True,88959,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,268,1.0,819,[],,,,True
CADETS 06,reserve_0.25,0.1,10223,102232,8885,8670,1.3396086283028126,0.2563038393855095,1.595912467688322,True,88959,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,268,1.0,903,[],,,,True
CADETS 06,reserve_0.25,0.2,20446,102232,15770,15626,1.3396086283028126,0.34708288311958313,1.6866915114223957,True,88959,8,8,1.0,8,2,2,1.0,4,4,1.0,268,268,268,1.0,1065,[],,,,True
CADETS 12,rasp,0.05,6913,138261,6913,6912,1.6588981375098228,0.2229895107448101,1.881887648254633,True,136819,43,21,0.4883720930232558,43,24,8,0.3333333333333333,34,12,0.35294117647058826,5000,5000,62,0.0124,6866,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15267234-3E7F-11E8-A5CB-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1633500B-D34B-8058-8BD3-ABB7D880915E', '17C4C0C3-3E7D-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '1D3ACF79-3E7F-11E8-A5CB-3FA3753A265A', '21A20E29-3E7E-11E8-A5CB-3FA3753A265A', '34612C08-3E7B-11E8-A5CB-3FA3753A265A', '416AB837-8E42-6D58-828E-6976586D8E68', '42E4A848-3E7C-11E8-A5CB-3FA3753A265A', '51110606-D232-9652-B2D2-3A7242968F8A', '60EBF436-633F-B75F-BF63-A8040FB73989', '7B30E76D-3E7D-11E8-A5CB-3FA3753A265A', '7CED5514-3E7B-11E8-A5CB-3FA3753A265A', '7CF2DDA4-3E7B-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A', 'C4F4FF22-3E7B-11E8-A5CB-3FA3753A265A']",,,,
CADETS 12,rasp,0.1,13826,138261,13826,13774,1.6588981375098228,0.28060344606637955,1.9395015835762024,True,136819,43,34,0.7906976744186046,43,24,16,0.6666666666666666,34,25,0.7352941176470589,5000,5000,297,0.0594,13022,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '34612C08-3E7B-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,
CADETS 12,rasp,0.2,27652,138261,27652,27455,1.6588981375098228,0.39886074885725975,2.0577588863670826,True,136819,43,35,0.813953488372093,43,24,17,0.7083333333333334,34,26,0.7647058823529411,5000,5000,4958,0.9916,13458,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,
CADETS 12,temporal_uniform,0.05,6913,138261,6913,6913,0.7492611296474934,0.21233954280614853,0.9616006724536419,True,125130,43,23,0.5348837209302325,43,24,7,0.2916666666666667,34,14,0.4117647058823529,5000,5000,50,0.01,6854,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15267234-3E7F-11E8-A5CB-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '17C4C0C3-3E7D-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '1D3ACF79-3E7F-11E8-A5CB-3FA3753A265A', '21A20E29-3E7E-11E8-A5CB-3FA3753A265A', '34612C08-3E7B-11E8-A5CB-3FA3753A265A', '42E4A848-3E7C-11E8-A5CB-3FA3753A265A', '5CD609A7-3E7F-11E8-A5CB-3FA3753A265A', '60EBF436-633F-B75F-BF63-A8040FB73989', '7B30E76D-3E7D-11E8-A5CB-3FA3753A265A', '7CED5514-3E7B-11E8-A5CB-3FA3753A265A', '7CF2DDA4-3E7B-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A', 'C4F4FF22-3E7B-11E8-A5CB-3FA3753A265A']",,,,
CADETS 12,temporal_uniform,0.1,13826,138261,13826,13826,0.7492611296474934,0.2683376781642437,1.017598807811737,True,125130,43,31,0.7209302325581395,43,24,15,0.625,34,22,0.6470588235294118,5000,5000,82,0.0164,13340,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '21A20E29-3E7E-11E8-A5CB-3FA3753A265A', '34612C08-3E7B-11E8-A5CB-3FA3753A265A', '42E4A848-3E7C-11E8-A5CB-3FA3753A265A', '60EBF436-633F-B75F-BF63-A8040FB73989', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,
CADETS 12,temporal_uniform,0.2,27652,138261,27652,27633,0.7492611296474934,0.40162642300128937,1.1508875526487827,True,125130,43,34,0.7906976744186046,43,24,17,0.7083333333333334,34,25,0.7352941176470589,5000,5000,128,0.0256,14553,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '60EBF436-633F-B75F-BF63-A8040FB73989', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,
CADETS 12,temporal_relation,0.05,6913,138261,6913,6884,0.9017759673297405,0.21672799065709114,1.1185039579868317,True,125130,43,35,0.813953488372093,43,24,17,0.7083333333333334,34,26,0.7647058823529411,5000,5000,196,0.0392,1048,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,
CADETS 12,temporal_relation,0.1,13826,138261,13826,13786,0.9017759673297405,0.27950210496783257,1.181278072297573,True,125130,43,35,0.813953488372093,43,24,17,0.7083333333333334,34,26,0.7647058823529411,5000,5000,210,0.042,4787,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,
CADETS 12,temporal_relation,0.2,27652,138261,27652,27570,0.9017759673297405,0.3906007558107376,1.2923767231404781,True,125130,43,35,0.813953488372093,43,24,17,0.7083333333333334,34,26,0.7647058823529411,5000,5000,214,0.0428,14937,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,
CADETS 12,temporal_relation_old_routes,0.05,6913,138261,6913,6614,2.5606741048395634,0.21461860463023186,2.7752927094697952,True,125130,43,35,0.813953488372093,43,24,17,0.7083333333333334,34,26,0.7647058823529411,5000,5000,196,0.0392,1048,"['1131CD42-3DC3-11E8-A5CA-3FA3753A265A', '15FD3B4A-3DC3-11E8-A5CB-3FA3753A265A', '1902FFA3-6F80-2052-806F-3D6A2220819E', '1AC05B7A-3DC3-11E8-A5CB-3FA3753A265A', '7D2E10B3-3E7B-11E8-A5CB-3FA3753A265A', '81E2003D-3E7B-11E8-A5CB-3FA3753A265A', 'AE11D308-3E7F-11E8-A5CB-3FA3753A265A', 'B2C5B97D-3E7F-11E8-A5CB-3FA3753A265A']",,,,
