method,budget_ratio,macro_entity_retention,micro_entity_retention,retained_positive_entities,positive_entities,macro_core_event_retention,micro_core_event_retention,retained_positive_processes,positive_processes,macro_process_retention,macro_nonseed_entity_retention,total_model_seconds
rasp,0.05,0.7515329139661965,0.7352941176470589,100,136,0.5164507944217026,0.14046721929163528,63,89,0.6802721088435374,0.6884745285674079,14.447988659143448
temporal_uniform,0.05,0.8108042635658914,0.8014705882352942,109,136,0.09076735071606513,0.039939713639788994,66,89,0.7157738095238095,0.7608359133126935,10.791919339448214
temporal_relation,0.05,0.9222383720930233,0.9191176470588235,125,136,0.19823813438186158,0.09178598342125094,82,89,0.9270833333333334,0.901702786377709,12.049146726727486
temporal_relation_old_routes,0.05,0.9222383720930233,0.9191176470588235,125,136,0.19816643984683532,0.09163526752072344,82,89,0.9270833333333334,0.901702786377709,24.880519092082977
hybrid_relation_temporal,0.05,0.8166579298513152,0.8161764705882353,111,136,0.524126350054349,0.15357950263752826,71,89,0.7784863945578231,0.7695468618069237,24.878527641296387
reserve_0.1,0.05,0.8435077519379846,0.8602941176470589,117,136,0.5187756238580911,0.15689525244913338,73,89,0.7738095238095238,0.8022445820433437,25.715845346450806
reserve_0.25,0.05,0.8597383720930233,0.875,119,136,0.48178418210411894,0.14800301431801055,75,89,0.8020833333333334,0.8227554179566563,25.705042243003845
rasp,0.1,0.835311030626509,0.8455882352941176,115,136,0.7227410243067601,0.2779201205727204,71,89,0.7636054421768708,0.7931536729524346,15.057893298566341
temporal_uniform,0.1,0.8781492248062015,0.875,119,136,0.10601764327602257,0.05124340617935192,76,89,0.8348214285714286,0.8459752321981424,11.477330937981606
temporal_relation,0.1,0.9534883720930233,0.9411764705882353,128,136,0.23614641580828252,0.10504898266767144,82,89,0.9270833333333334,0.9411764705882353,12.693948931992054
temporal_relation_old_routes,0.1,0.9534883720930233,0.9411764705882353,128,136,0.23664943391693444,0.10519969856819894,82,89,0.9270833333333334,0.9411764705882353,25.51425438001752
hybrid_relation_temporal,0.1,0.8399137438048037,0.8455882352941176,115,136,0.7210880061981082,0.2743029389600603,73,89,0.7993197278911565,0.7989586265128061,25.574029222130775
reserve_0.1,0.1,0.8493217054263567,0.8676470588235294,118,136,0.7056028076505007,0.252147701582517,74,89,0.7842261904761905,0.8095975232198143,26.361681308597326
reserve_0.25,0.1,0.8805717054263567,0.8897058823529411,121,136,0.5847793889775434,0.19065561416729465,77,89,0.8377976190476191,0.8490712074303406,26.401393588632345
rasp,0.2,0.8493217054263567,0.8676470588235294,118,136,0.9586645875251509,0.9819140919366993,74,89,0.7842261904761905,0.8095975232198143,16.463571041822433
temporal_uniform,0.2,0.9476744186046512,0.9338235294117647,127,136,0.1587535923035209,0.08078372268274303,82,89,0.9270833333333334,0.9338235294117647,12.898326512426138
temporal_relation,0.2,0.9534883720930233,0.9411764705882353,128,136,0.3152129069148119,0.1382064807837227,82,89,0.9270833333333334,0.9411764705882353,14.091121099889278
temporal_relation_old_routes,0.2,0.9534883720930233,0.9411764705882353,128,136,0.3157159250234638,0.1383571966842502,82,89,0.9270833333333334,0.9411764705882353,26.91142389923334
hybrid_relation_temporal,0.2,0.8701550387596899,0.8823529411764706,120,136,0.9596206237424547,0.9820648078372268,76,89,0.8199404761904762,0.8359133126934984,26.978793617337942
reserve_0.1,0.2,0.8805717054263567,0.8897058823529411,121,136,0.9600736418511067,0.9820648078372268,77,89,0.8377976190476191,0.8490712074303406,27.79119421541691
reserve_0.25,0.2,0.9326550387596899,0.9264705882352942,126,136,0.9318098591549295,0.8804822908816881,82,89,0.9270833333333334,0.9148606811145511,27.77640225738287
